epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.521,0.17932,0.48957,0.95337,0.98928,0.9955,0.99209,0.97063,0.19219,0.29392,0.43359,0.0033322,0.0033322,0.0033322
2,674.426,0.17015,0.21161,0.92742,0.99267,0.99736,0.9943,0.98322,0.2686,0.25688,0.48146,0.00653355,0.00653355,0.00653355
3,990.402,0.17634,0.20357,0.93038,0.99305,0.99784,0.99489,0.9906,0.17647,0.20866,0.37175,0.00960291,0.00960291,0.00960291
4,1306.94,0.15486,0.17799,0.92357,0.99891,0.99938,0.995,0.99415,0.2291,0.21354,0.43311,0.009406,0.009406,0.009406
5,1615.11,0.13168,0.15017,0.91597,0.9982,0.99891,0.995,0.99351,0.18916,0.21582,0.37602,0.009208,0.009208,0.009208
6,1933.57,inf,0.13545,0.91272,0.99979,1,0.995,0.99427,0.22358,0.24278,0.42596,0.00901,0.00901,0.00901
7,2245.31,0.11357,0.12481,0.90996,0.99984,0.99999,0.995,0.99052,0.21682,0.2366,0.42149,0.008812,0.008812,0.008812
8,2563.81,0.10861,0.11871,0.90953,0.99983,1,0.995,0.99388,0.20061,0.2304,0.39442,0.008614,0.008614,0.008614
9,2878.11,0.10437,0.11201,0.90749,1,0.99959,0.995,0.92693,0.20361,0.20407,0.4004,0.008416,0.008416,0.008416
10,3194.86,0.10239,0.10761,0.90775,0.99984,1,0.995,0.99348,0.20854,0.43683,0.40351,0.008218,0.008218,0.008218
11,3512.12,0.09928,0.10253,0.90623,0.99992,0.99984,0.995,0.92383,0.2092,0.21007,0.39774,0.00802,0.00802,0.00802
12,3825.33,0.09782,0.10124,0.90584,0.99998,0.99984,0.995,0.99487,0.20783,0.2129,0.38817,0.007822,0.007822,0.007822
13,4143.06,0.09661,0.09897,0.90729,1,0.99997,0.995,0.99432,0.19417,0.20698,0.38235,0.007624,0.007624,0.007624
14,4454.29,0.09497,0.09641,0.90681,1,0.99999,0.995,0.98303,0.20166,0.22819,0.39144,0.007426,0.007426,0.007426
15,4770.77,0.09251,0.09197,0.90541,0.99999,1,0.995,0.94992,0.20731,0.23993,0.39498,0.007228,0.007228,0.007228
16,5083.9,inf,0.09269,0.90525,0.99984,0.99995,0.995,0.95055,0.19957,0.24155,0.38797,0.00703,0.00703,0.00703
17,5403.28,0.09051,0.091,0.90481,0.99991,0.99984,0.995,0.95996,0.19375,0.23249,0.38207,0.006832,0.006832,0.006832
18,5720.86,0.08988,0.08931,0.90534,0.99994,0.99984,0.995,0.96627,0.18684,0.21916,0.37014,0.006634,0.006634,0.006634
19,6035.06,0.08915,0.08781,0.90427,0.99992,0.99984,0.995,0.96265,0.19063,0.22122,0.37371,0.006436,0.006436,0.006436
20,6349.33,0.08824,0.08659,0.90469,0.99999,0.99984,0.995,0.95749,0.18961,0.21872,0.3728,0.006238,0.006238,0.006238
21,6691.75,0.08655,0.08457,0.90479,0.99997,1,0.995,0.96068,0.18805,0.2163,0.37106,0.00604,0.00604,0.00604
22,7028.95,0.08586,0.08374,0.90428,1,0.99984,0.995,0.96722,0.18468,0.21491,0.36695,0.005842,0.005842,0.005842
